repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
Go,395,660,1232.941875,MERGED,1,10,1,0,1,51,False,0,0,0,273,11,0.14666666666666667,Feature
Go,30,295,314.3537847222222,MERGED,15,1,2,3,1,95,True,0,3,1,1957,16,0.12361111111111112,Bug
Java,450,746,4038.0513541666664,MERGED,7,7,5,2,2,61,True,0,2,1,2671,14,3.164722222222222,Bug
Go,30,295,308.1178125,MERGED,2,2,1,2,1,91,True,0,2,1,1433,4,0.0175,Bug
TypeScript,1297,21107,382.9620717592593,MERGED,6,14,4,1,1,757,True,0,1,1,397,20,0.14305555555555555,Feature
Go,395,660,1232.1514351851852,MERGED,3,3,3,0,1,50,False,0,0,0,310,6,0.09222222222222222,Feature
Go,395,660,1231.8938773148147,MERGED,0,32,1,0,1,114,False,0,0,0,276,32,1.0047222222222223,Feature
C#,80,125,784.8851851851852,MERGED,5,5,2,0,1,2,False,0,0,0,347,10,0.24333333333333335,Document
Go,30,295,307.4099189814815,MERGED,1,1,1,3,1,89,True,1,2,1,1368,2,0.01361111111111111,Bug
Go,30,295,313.00894675925923,MERGED,4,3,3,2,2,93,True,0,2,1,1783,7,0.0175,Bug
Python,19248,70257,2419.3844791666666,CLOSED,1,1,1,5,1,0,False,0,5,3,213,2,12.269722222222223,Bug
TypeScript,216,520,1664.8530208333334,MERGED,3,1,1,0,1,144,False,0,0,0,308,4,0.18416666666666667,Feature
TypeScript,216,520,1664.811724537037,MERGED,51,51,3,2,1,52,False,1,1,1,322,102,1.2761111111111112,Bug
Erlang,2054,12122,3756.155347222222,MERGED,25,91,9,0,9,963,True,0,0,0,372,116,37.754444444444445,Feature
TypeScript,1297,21107,383.99841435185186,MERGED,2,7,2,1,1,766,True,0,1,1,1767,9,0.015833333333333335,Document
TypeScript,1297,21107,383.92754629629627,MERGED,50,233,9,1,4,58,False,0,1,1,2295,283,1.6575,Document
